e     , I                  , mean                  , stdev                  , (N = 0)               , (N = 1)
0.001 , 95.0               , 0.002584393954219174  , 0.0007326270089088972  , (0.010830493235814236 , -3.550574592993995)  , (0.006040964166626405  , -2.9590885534633258)
0.9   , 90.5               , 0.025595158311476622  , 0.007282581682307483   , (0.19102823077938652  , -2.6220190280426627) , (0.1841701108142288    , -2.611374065607867)
0.001 , 90.5               , 0.016590368383165723  , 0.004406859456755534   , (0.06620191122990048  , -2.960688752942082)  , (0.061412145148154906  , -2.9016797954789513)
0.001 , 91.5               , 0.00654116763290377   , 0.0017912945334789912  , (0.026043959493563272 , -3.1930206753537957) , (0.021255045102998114  , -3.0159954769134383)
0.001 , 92.5               , 0.0042644239477692605 , 0.0011869301199889672  , (0.01743080897742939  , -3.310142661309444)  , (0.012642360456959337  , -3.015016645699865)
0.001 , 93.5               , 0.0032886819369495105 , 0.0009247006534821235  , (0.013674396253989968 , -3.4100670394614334) , (0.00888592098696078   , -2.996644560819562)
0.001 , 94.5               , 0.0027624849703767893 , 0.000781516020680472   , (0.011569994187431192 , -3.5043889708693845) , (0.006780955995352944  , -2.9723594753329374)
0.01  , 92.5               , 0.003228358831347233  , 0.0009065668862392819  , (0.01607869363878448  , -3.2279314455239696) , (0.012581943123718872  , -3.007284974858151)
0.1   , 92.5               , 0.002280372420593898  , 0.0006472369603984086  , (0.014837054628258777 , -3.143851876715061)  , (0.012485374722001452  , -2.982807887390676)
0.3   , 92.5               , 0.0020915370394685756 , 0.0005958962641503912  , (0.015164121319123952 , -3.096735694343886)  , (0.013104357292777449  , -2.9563109593942647)
0.001 , 105.00000000000001 , 0.001690337795932289  , 0.00047963618093702423 , (0.006389996949859751 , -4.477358356843505)  , (0.0015563557072250623 , -2.649400749362985)
