Ran for I = 100.125, e0=0.003, amp=2.365
Ran for I = 100.165, e0=0.003, amp=2.380
Ran for I = 100.205, e0=0.003, amp=2.395
Ran for I = 100.245, e0=0.003, amp=2.407
Ran for I = 100.285, e0=0.003, amp=2.426
Ran for I = 100.325, e0=0.003, amp=2.441
Ran for I = 100.365, e0=0.003, amp=2.457
Ran for I = 100.405, e0=0.003, amp=2.472
Ran for I = 100.445, e0=0.003, amp=2.487
Ran for I = 100.485, e0=0.003, amp=2.503
Ran for I = 100.526, e0=0.003, amp=2.518
Ran for I = 100.566, e0=0.003, amp=2.529
Ran for I = 100.606, e0=0.003, amp=2.548
Ran for I = 100.646, e0=0.003, amp=2.564
Ran for I = 100.686, e0=0.003, amp=2.577
Ran for I = 100.726, e0=0.003, amp=2.595
Ran for I = 100.766, e0=0.003, amp=2.611
Ran for I = 100.806, e0=0.003, amp=2.626
Ran for I = 100.846, e0=0.003, amp=2.623
Ran for I = 100.886, e0=0.003, amp=2.657
Ran for I = 100.926, e0=0.003, amp=2.673
Ran for I = 100.966, e0=0.003, amp=2.686
Ran for I = 101.006, e0=0.003, amp=2.704
Ran for I = 101.046, e0=0.003, amp=2.716
Ran for I = 101.086, e0=0.003, amp=2.735
Ran for I = 101.126, e0=0.003, amp=2.751
Ran for I = 101.166, e0=0.003, amp=2.766
Ran for I = 101.206, e0=0.003, amp=2.782
Ran for I = 101.246, e0=0.003, amp=2.798
Ran for I = 101.286, e0=0.003, amp=2.792
Ran for I = 101.326, e0=0.003, amp=2.830
Ran for I = 101.366, e0=0.003, amp=2.845
Ran for I = 101.406, e0=0.003, amp=2.862
Ran for I = 101.446, e0=0.003, amp=2.877
Ran for I = 101.486, e0=0.003, amp=2.892
Ran for I = 101.527, e0=0.003, amp=2.909
Ran for I = 101.567, e0=0.003, amp=2.925
Ran for I = 101.607, e0=0.003, amp=2.912
Ran for I = 101.647, e0=0.003, amp=2.957
Ran for I = 101.687, e0=0.003, amp=2.972
Ran for I = 101.727, e0=0.003, amp=2.988
Ran for I = 101.767, e0=0.003, amp=3.004
Ran for I = 101.807, e0=0.003, amp=3.020
Ran for I = 101.847, e0=0.003, amp=3.036
Ran for I = 101.887, e0=0.003, amp=3.052
Ran for I = 101.927, e0=0.003, amp=3.068
Ran for I = 101.967, e0=0.003, amp=3.083
Ran for I = 102.007, e0=0.003, amp=3.100
Ran for I = 102.047, e0=0.003, amp=3.116
Ran for I = 102.087, e0=0.003, amp=3.056
Ran for I = 102.127, e0=0.003, amp=3.149
Ran for I = 102.167, e0=0.003, amp=3.165
Ran for I = 102.207, e0=0.003, amp=3.179
Ran for I = 102.247, e0=0.003, amp=3.197
Ran for I = 102.287, e0=0.003, amp=3.213
Ran for I = 102.327, e0=0.003, amp=3.229
Ran for I = 102.367, e0=0.003, amp=3.245
Ran for I = 102.407, e0=0.003, amp=3.262
Ran for I = 102.447, e0=0.003, amp=3.277
Ran for I = 102.487, e0=0.003, amp=3.289
Ran for I = 102.528, e0=0.003, amp=3.310
Ran for I = 102.568, e0=0.003, amp=3.326
Ran for I = 102.608, e0=0.003, amp=3.343
Ran for I = 102.648, e0=0.003, amp=3.353
Ran for I = 102.688, e0=0.003, amp=3.375
Ran for I = 102.728, e0=0.003, amp=3.391
Ran for I = 102.768, e0=0.003, amp=3.408
Ran for I = 102.808, e0=0.003, amp=3.384
Ran for I = 102.848, e0=0.003, amp=3.423
Ran for I = 102.888, e0=0.003, amp=3.456
Ran for I = 102.928, e0=0.003, amp=3.473
Ran for I = 102.968, e0=0.003, amp=3.489
Ran for I = 103.008, e0=0.003, amp=3.506
Ran for I = 103.048, e0=0.003, amp=3.521
Ran for I = 103.088, e0=0.003, amp=3.538
Ran for I = 103.128, e0=0.003, amp=3.555
Ran for I = 103.168, e0=0.003, amp=3.547
Ran for I = 103.208, e0=0.003, amp=3.587
Ran for I = 103.248, e0=0.003, amp=3.601
Ran for I = 103.288, e0=0.003, amp=3.621
Ran for I = 103.328, e0=0.003, amp=3.637
Ran for I = 103.368, e0=0.003, amp=3.654
Ran for I = 103.408, e0=0.003, amp=3.670
Ran for I = 103.448, e0=0.003, amp=3.687
Ran for I = 103.488, e0=0.003, amp=3.703
Ran for I = 103.529, e0=0.003, amp=3.720
Ran for I = 103.569, e0=0.003, amp=3.736
Ran for I = 103.609, e0=0.003, amp=3.753
Ran for I = 103.649, e0=0.003, amp=3.770
Ran for I = 103.689, e0=0.003, amp=3.786
Ran for I = 103.729, e0=0.003, amp=3.802
Ran for I = 103.769, e0=0.003, amp=3.819
Ran for I = 103.809, e0=0.003, amp=3.835
Ran for I = 103.849, e0=0.003, amp=3.852
Ran for I = 103.889, e0=0.003, amp=3.868
Ran for I = 103.929, e0=0.003, amp=3.886
Ran for I = 103.969, e0=0.003, amp=3.903
Ran for I = 104.009, e0=0.003, amp=3.919
Ran for I = 104.049, e0=0.003, amp=3.936
Ran for I = 104.089, e0=0.003, amp=3.870
Ran for I = 104.129, e0=0.003, amp=3.800
Ran for I = 104.169, e0=0.003, amp=3.986
Ran for I = 104.209, e0=0.003, amp=4.002
Ran for I = 104.249, e0=0.003, amp=4.019
Ran for I = 104.289, e0=0.003, amp=4.036
Ran for I = 104.329, e0=0.003, amp=4.053
Ran for I = 104.369, e0=0.003, amp=4.070
Ran for I = 104.409, e0=0.003, amp=4.087
Ran for I = 104.449, e0=0.003, amp=4.102
Ran for I = 104.489, e0=0.003, amp=4.119
Ran for I = 104.530, e0=0.003, amp=4.137
Ran for I = 104.570, e0=0.003, amp=4.154
Ran for I = 104.610, e0=0.003, amp=4.171
Ran for I = 104.650, e0=0.003, amp=4.187
Ran for I = 104.690, e0=0.003, amp=4.204
Ran for I = 104.730, e0=0.003, amp=4.221
Ran for I = 104.770, e0=0.003, amp=4.238
Ran for I = 104.810, e0=0.003, amp=4.255
Ran for I = 104.850, e0=0.003, amp=4.272
Ran for I = 104.890, e0=0.003, amp=4.289
Ran for I = 104.930, e0=0.003, amp=4.306
Ran for I = 104.970, e0=0.003, amp=4.323
Ran for I = 105.010, e0=0.003, amp=4.340
Ran for I = 105.050, e0=0.003, amp=4.357
Ran for I = 105.090, e0=0.003, amp=4.372
Ran for I = 105.130, e0=0.003, amp=4.389
Ran for I = 105.170, e0=0.003, amp=4.408
Ran for I = 105.210, e0=0.003, amp=4.425
Ran for I = 105.250, e0=0.003, amp=4.442
Ran for I = 105.290, e0=0.003, amp=4.458
Ran for I = 105.330, e0=0.003, amp=4.476
Ran for I = 105.370, e0=0.003, amp=4.493
Ran for I = 105.410, e0=0.003, amp=4.502
Ran for I = 105.450, e0=0.003, amp=4.527
Ran for I = 105.490, e0=0.003, amp=4.521
Ran for I = 105.531, e0=0.003, amp=4.561
Ran for I = 105.571, e0=0.003, amp=4.579
Ran for I = 105.611, e0=0.003, amp=4.596
Ran for I = 105.651, e0=0.003, amp=4.612
Ran for I = 105.691, e0=0.003, amp=4.580
Ran for I = 105.731, e0=0.003, amp=4.647
Ran for I = 105.771, e0=0.003, amp=4.665
Ran for I = 105.811, e0=0.003, amp=4.682
