e, I, max, median, period, (N = 0), (N = 1)
0.9, 90.5, 3.5075419280484157, 3.0357264789381246, 1.372803630072306, (0.13915189805356576, -1.9099738452065136), (0.13415619450578556, -1.9022196681329613)
0.001, 90.5, 0.22232116135132146, 0.13472905475955496, 8.746106649137765, (0.007569300705523296, -0.338515052664486), (0.007021655190336516, -0.3317681697564268)
0.001, 92.5, 0.06853996102529655, 0.059284798794280516, 8.757699406163074, (0.0019903410894832464, -0.3779694309877764), (0.001443570950615467, -0.3442703963529624)
0.001, 94.5, 0.058303808749997126, 0.05049785754750123, 8.78386130577947, (0.001317187713314479, -0.3989576848809783), (0.000771978946308193, -0.33838870763786194)
0.001, 96.5, 0.056724953288335524, 0.04910768459520805, 8.825071262879955, (0.0010526882656261283, -0.41783399189583603), (0.0005097042855927053, -0.3305092115228685)
0.001, 98.5, 0.057995363210408456, 0.05010485333216479, 8.88187234935599, (0.00090960280497796, -0.43560084684671957), (0.00036949944906540836, -0.3216660288695967)
0.001, 105.00000000000001, 0.0729161323559969, 0.06301235625775062, 9.184444568718835, (0.0006957412505513232, -0.48749364464486766), (0.0001694556154790058, -0.28846608301023885)
0.001, 125.00000000000001, 0.11015734731325319, 0.09538793141729068, 12.057646465053333, (0.0004655932888149941, -0.5897966414530547), (2.2031381126597018e-05, -0.15230803040000354)
0.01, 92.5, 0.07849013838817274, 0.06792472027911348, 6.2476393721973675, (0.002573563018111498, -0.5166641755746328), (0.0020138715399787323, -0.4813474011065485)
0.1, 92.5, 0.10616990333201394, 0.05614167315214809, 3.7395790967240226, (0.00396757342056395, -0.8406967189085972), (0.003338711229009435, -0.7976319821671108)
0.3, 92.5, 0.15710396356125847, 0.13563144498863777, 2.5515504128648105, (0.00594310080751965, -1.2136682382328305), (0.005135841026971611, -1.158633176318472)
